# File written from Python Script
# DateTime: Tue Feb 17 11:50:50 2026
# X_STEP: 1.000000
# Y_STEP: 1.000000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 120.000000
# Y_MAX: 120.000000
# Z_MAX: 0.000000
#
# X_DIM: 120
# Y_DIM: 120
# Z_DIM: 0
#
# Phase_1: Primary
# Symmetry_1: 43
# Features_1: 2
#
# Num_Features: 2 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
2.818689 1.806835 6.256642 0.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 1.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 2.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 3.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 4.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 5.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 6.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 7.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 8.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 9.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 10.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 11.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 12.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 13.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 14.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 15.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 16.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 17.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 18.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 19.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 20.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 21.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 22.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 23.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 24.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 25.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 26.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 27.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 28.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 29.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 30.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 31.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 32.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 33.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 34.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 35.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 36.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 37.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 38.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 39.500000 0.500000 0.000000 1 1 43
2.818689 1.806835 6.256642 40.500000 0.500000 0.000000 1 1 43
